DateTime,LogLevel,Details
03/22 08:51:01,INFO,:.main: *************** RSVP Agent started ***************
03/22 08:51:01,INFO,:...locate_configFile: Specified configuration file: /u/user10/rsvpd1.conf
03/22 08:51:01,INFO,:..settcpimage: Associate with TCP/IP image name = TCPCS
03/22 08:51:02,INFO,:..reg_process: registering process with the system
03/22 08:51:02,INFO,:..reg_process: attempt OS/390 registration
03/22 08:51:02,INFO,:..reg_process: return from registration rc=0
03/22 08:51:06,INFO,:...read_physical_netif: index #1, interface TR1 has address 9.37.65.139, ifidx 1
03/22 08:51:06,INFO,:...read_physical_netif: index #2, interface LINK11 has address 9.67.100.1, ifidx 2
03/22 08:51:06,INFO,:...read_physical_netif: index #3, interface LINK12 has address 9.67.101.1, ifidx 3
03/22 08:51:06,INFO,:...read_physical_netif: index #4, interface CTCD0 has address 9.67.116.98, ifidx 4
03/22 08:51:06,INFO,:...read_physical_netif: index #5, interface CTCD2 has address 9.67.117.98, ifidx 5
03/22 08:51:06,INFO,:...read_physical_netif: index #6, interface LOOPBACK has address 127.0.0.1, ifidx 0
03/22 08:51:06,INFO,:...mailbox_register: mailbox allocated for timer
03/22 08:51:06,INFO,:.....mailslot_create: creating mailslot for RSVP
03/22 08:51:06,INFO,:....mailbox_register: mailbox allocated for rsvp
03/22 08:51:06,INFO,:.....mailslot_create: creating mailslot for RSVP via UDP
03/22 08:51:06,INFO,:....mailbox_register: mailbox allocated for rsvp-udp
03/22 08:51:06,INFO,:.....mailslot_create: creating mailslot for RSVP
03/22 08:51:06,INFO,:....mailbox_register: mailbox allocated for rsvp
03/22 08:51:06,INFO,:.....mailslot_create: creating mailslot for RSVP via UDP
03/22 08:51:06,INFO,:....mailbox_register: mailbox allocated for rsvp-udp
03/22 08:51:06,INFO,:.....mailslot_create: creating mailslot for RSVP
03/22 08:51:06,INFO,:....mailbox_register: mailbox allocated for rsvp
03/22 08:51:06,INFO,:.....mailslot_create: creating mailslot for RSVP
03/22 08:51:06,INFO,:....mailbox_register: mailbox allocated for rsvp
03/22 08:51:06,INFO,:.....mailslot_create: creating mailslot for RSVP via UDP
03/22 08:51:06,INFO,:....mailbox_register: mailbox allocated for rsvp-udp
03/22 08:51:06,INFO,:.....mailslot_create: creating mailslot for RSVP via UDP
03/22 08:51:06,INFO,:.....mailslot_create: creating mailslot for RSVP
03/22 08:51:06,INFO,:....mailbox_register: mailbox allocated for rsvp
03/22 08:51:06,INFO,:.....mailslot_create: creating mailslot for RSVP via UDP
03/22 08:51:06,INFO,:.....mailslot_create: creating mailslot for RSVP
03/22 08:51:06,INFO,:....mailbox_register: mailbox allocated for rsvp
03/22 08:51:06,INFO,:.....mailslot_create: creating mailslot for RSVP via UDP
03/22 08:51:06,INFO,:....mailbox_register: mailbox allocated for rsvp-udp
03/22 08:51:06,INFO,:.....mailbox_register: no mailbox necessary for forward
03/22 08:51:06,INFO,:......mailslot_create: creating mailslot for route engine - informational socket
03/22 08:51:11,INFO,:.....mailbox_register: mailbox allocated for route
03/22 08:51:11,INFO,:.....mailslot_create: creating socket for traffic control module
03/22 08:51:11,INFO,:....mailbox_register: no mailbox necessary for traffic-control
03/22 08:51:11,INFO,:..mailbox_register: mailbox allocated for terminate
03/22 08:51:11,INFO,:...mailslot_create: creating mailslot for dump
03/22 08:51:11,INFO,:..mailbox_register: mailbox allocated for dump
03/22 08:51:11,INFO,:...mailslot_create: creating mailslot for (broken) pipe
03/22 08:51:11,INFO,:..mailbox_register: mailbox allocated for pipe
03/22 08:51:11,INFO,:.main: rsvpd initialization complete
03/22 08:52:50,INFO,:......rsvp_api_open: accepted a new connection for rapi
03/22 08:52:50,INFO,:.......mailbox_register: mailbox allocated for mailbox
03/22 08:52:50,INFO,:........router_forward_getOI: Ioctl to get route entry successful
03/23 08:52:50,INFO,:.......init_policyAPI: papi_debug:  Entering
03/23 08:52:50,INFO,:.......init_policyAPI: papi_debug:  papiLogFunc = 98681F0 papiUserValue = 0
03/23 08:52:50,INFO,:.......init_policyAPI: papi_debug:  Exiting
03/23 08:52:50,INFO,:.......init_policyAPI: APIInitialize:  Entering
03/23 08:52:50,INFO,:.......init_policyAPI: open_socket:  Entering
03/23 08:52:50,INFO,:.......init_policyAPI: open_socket:  Exiting
03/23 08:52:50,INFO,:.......init_policyAPI: APIInitialize:  Exiting
03/23 08:52:50,INFO,:.......init_policyAPI: RegisterWithPolicyAPI:  Entering
03/23 08:52:50,INFO,:.......init_policyAPI: RegisterWithPolicyAPI:  Writing to socket = 22
03/23 08:52:50,INFO,:.......init_policyAPI: ReadBuffer:  Entering
03/23 08:52:51,INFO,:.......init_policyAPI: RegisterWithPolicyAPI:  Exiting
03/23 08:52:51,INFO,:.......init_policyAPI: Policy API initialized
03/23 08:52:51,INFO,:......rpapi_getPolicyData: RSVPFindActionName:  Entering
03/23 08:52:51,INFO,:......rpapi_getPolicyData: ReadBuffer:  Entering
03/23 08:52:51,INFO,:......rpapi_getPolicyData: ReadBuffer:  Exiting
03/23 08:52:51,INFO,:......rpapi_getPolicyData: RSVPFindActionName:  Exiting
03/23 08:52:51,INFO,:......rpapi_getPolicyData: found action name CLCat2 for
03/23 08:52:51,INFO,:......rpapi_getPolicyData: RSVPFindServiceDetailsOnActName:  Entering
03/23 08:52:51,INFO,:......rpapi_getPolicyData: ReadBuffer:  Entering
03/23 08:52:51,INFO,:......rpapi_getPolicyData: ReadBuffer:  Exiting
